Name,IATA,ICAO,Country,Active
Afro International Ent. Limited,,AOR,Nigeria,N
Alitalia Express,XM,SMX,Italy,Y
Asia Overnight Express,OE,AOT,Philippines,N
Air Tractor,,AOU,Croatia,N
Aero Vision,,AOV,France,N
Aerotaxi Del Valle,,AOX,Colombia,N
Air Park Aviation Ltd.,,APA,Canada,N
Airpac Airlines,,APC,AIRPAC,N
Aeroservicios Monterrey,,SVM,Mexico,N
Amapola Flyg AB,,APF,Sweden,N
Air People International,,APG,Thailand,N
Alpha Aviation,,APH,AIRFLIGHT,N
ASA Pesada,,API,ASA PESADA,N
Air Print,,APJ,AIR PRINT,N
Atlantic Airlines,,BJK,United States,N
Aerotransporte Petrolero,,PET,Colombia,N
Aero Flight,GV,ARF,Germany,Y
ACM Aviation,,BJT,United States,N
Aircompany Barcol,,BKL,Russia,N
All Charter Limited,,BLA,United Kingdom,N
Appalachian Flying Service,,APL,APPALACHIAN,N
Airpac,,APM,ALASKA PACIFIC,N
Aeropro,,APO,Canada,N
Aerolineas Pacifico Atlantico,,APP,AEROPERLAS,N
Aspen Aviation,,APQ,United States,N
Aeropuma,,APU,AEROPUMA,N
Air Plan International,,APV,Democratic Republic of the Congo,N
Arrow Air,JW,APW,United States,Y
Apex Air Cargo,,APX,United States,N
APA Internacional,,APY,Dominican Republic,N
Aeroatlas,,AQA,ATCO,N
Aquila Air Ltd.,,AQL,Canada,N
Air Queensland,,AQN,Australia,N
Aluminum Company Of America,,AQO,United States,N
Aviones de Renta de Quintana Roo,,AQT,AVIOQUINTANA,N
AirQuarius Aviation,,AQU,South Africa,N
Aerodyne Charter Company,,AQZ,United States,N
Arik Air,W3,ARA,Nigeria,N
Avia Air N.V.,,ARB,Aruba,N
Air Routing International Corp.,,ARC,United States,N
Aerocondor,2B,ARD,Portugal,Y
Aires,4C,ARE, S.A.,Y
Aerolineas Argentinas,AR,ARG,Argentina,Y
Arrowhead Airways,,ARH,United States,N
Aero Vics,,ARI,Mexico,N
Aerojet de Costa Rica,,ARJ,,N
Antillana De Navegacion Aerea,,SUN,Dominican Republic,N
Aeroservicios De San Luis,,SUO,Mexico,N
Aerosuper,,SUP,Mexico,N
Aero Link Air Services S.L.,,ARK,Spain,N
Airlec - Air Aquitaine Transport,,ARL,France,N
Aeromarket Express,,ARM,Spain,N
Arrow Aviation Ltd.,,ARO,Canada,N
RPA-Aviataxi Ltd.,,ARP,Russia,N
Air Klaipeda,,KLD,Lithuania,N
Armstrong Air,,ARQ,ARMSTRONG,N
Air Armenia,QN,ARR,Armenia,N
Aeromet Servicios,,ARS,Chile,N
Aerotal Aerolineas Territoriales de Colombia Ltda,,ART,Colombia,N
Aravco Ltd.,,ARV,United Kingdom,N
Aria,,ARW,France,N
Air Xpress,,ARX,AIREX,N
Airline Alania,,OST,Russia,N
Air Tchad,,HTT,Chad,N
Aerloineas de Techuacan,,HUC,Mexico,N
